店铺名称,价格,评价星级,口味,环境,服务,评论数,评论标签,图片评论数,好评数,中评数,差评数,店铺地址
凤王府成都火锅(凤凰广场店),106.0,4.0,8.0,8.8,8.1,125.0,"性价比高(28),分量足(21),菜品健康(14),牛肉赞(8),不用排队(4),海鲜棒(3),高大上(3),朋友聚餐(4),到店自提(1)",103.0,99.0,24.0,2.0,地址:州凤场158号5楼
爸爸炒料牛排老火锅(九方店),110.0,4.5,8.4,8.5,8.5,310.0,"牛肉赞(40),菜品精致(29),停车方便(17),上菜快(8),高大上(5),回头客(4),到店自提(1),朋友聚餐(8),闺蜜聚会(5),文艺清新(4)",264.0,271.0,35.0,3.0,地址:苏厦8幢1号
龍爺火锅·和牛工厂(观前旗舰店),109.0,4.5,9.0,9.1,9.0,978.0,"菜品健康(115),回头客(32),有表演(21),上菜快(19),不用排队(9),朋友聚餐(19),请客(9),到店自提(6),闺蜜聚会(6),家庭聚餐(5)",659.0,860.0,79.0,40.0,地址:民1436            (苏北侧)
古乐牛香牛肉牛杂火锅(吴中商城店),66.0,5.0,9.0,8.7,9.0,440.0,"菜品精致(110),牛肉赞(41),回头客(27),上菜快(16),不用排队(13),发发呆(3),朋友聚餐(12),到店自提(7),家庭聚餐(4),店内消毒(1)",242.0,392.0,36.0,12.0,地址:经开发街5号吴中
那都不是锅港式打边炉(昆山店),108.0,5.0,9.1,9.1,9.1,482.0,"菜品健康(82),停车方便(39),海鲜棒(29),上菜快(16),回头客(10),到店自提(6),店内消毒(1),朋友聚餐(14),下午茶(7),家庭聚餐(5)",441.0,435.0,41.0,6.0,地址:昆山晖675-2号（近白塔老街）
吉碳烤吧(玫瑰天街店),82.0,3.5,7.6,7.8,7.8,108.0,"味道赞(32),服务热情(27),环境很好(24),菜品健康(7),撸串圣地(6),不用排队(4),分量足(4),朋友聚餐(4),到店自提(2)",56.0,96.0,8.0,4.0,地址:路28玫瑰街232层201室
湊湊火锅·茶憩(圆融时代广场店),152.0,4.5,8.9,9.1,9.0,4023.0,"回头客(125),不用排队(95),停车方便(23),到店自提(331),朋友聚餐(72),闺蜜聚会(62),下午茶(49),24小时营业(40),店内消毒(9)",3193.0,3467.0,406.0,150.0,地址:苏州业旺墩268圆融时代场N6区16楼106室
老爷锅(吴中永旺店),60.0,4.5,8.8,9.0,9.0,967.0,"回头客(29),不用排队(16),上菜快(15),停车方便(6),朋友聚餐(15),闺蜜聚会(8),工作餐(4),到店自提(3),下午茶(3),店内消毒(1)",736.0,846.0,95.0,26.0,地址:震桃188旺梦乐城二层278b
牛五牛六潮汕牛肉火锅,69.0,5.0,9.1,8.9,9.0,582.0,"菜品精致(129),牛肉赞(60),回头客(19),上菜快(16),不用排队(11),海鲜棒(3),到店自提(10),朋友聚餐(6),深夜食堂(3),店内消毒(2)",320.0,525.0,50.0,7.0,地址:姑苏区门路48
付小姐在成都(景德路店),73.0,5.0,9.0,9.1,9.1,7227.0,"回头客(303),上菜快(195),不用排队(124),夜景赞(3),到店自提(141),下午茶(9),店内消毒(5),别墅(5),有宝宝椅(3),可带宠物(3)",4827.0,6546.0,460.0,221.0,地址:景与士叉口苏州中医药物馆旁
麻吉好物,62.0,5.0,9.1,9.0,9.0,101.0,"服务热情(36),味道赞(25),菜品健康(10),价格实惠(9),性价比高(9),环境很好(9),饮品赞(7),回头客(4),停车方便(3),",73.0,95.0,5.0,1.0,地址:狮山路100锦华购物1B座            (麻吉盛火锅后门)
重庆高老九火锅(苏州中心店),125.0,5.0,9.1,9.1,9.1,3448.0,"菜品健康(339),回头客(135),不用排队(115),上菜快(89),夜景赞(6),朋友聚餐(84),闺蜜聚会(42),公司聚餐(29),到店自提(20),店内消毒(8)",2550.0,3190.0,200.0,58.0,地址:绣路中·星悦汇商场4楼            (Muji无印良品)
古乐牛香(石路店),67.0,5.0,9.0,8.6,8.7,5030.0,"回头客(204),上菜快(91),不用排队(74),有萌宠(5),到店自提(165),朋友聚餐(79),闺蜜聚会(29),深夜食堂(23),店内消毒(11),下午茶(5)",3064.0,4537.0,334.0,159.0,地址:阊胥路路步行街689            (阊胥路金路交叉口，国美电器对面)
辣三多·宽窄巷子串串(学士街店),64.0,4.5,9.0,9.0,8.7,622.0,"菜品健康(57),回头客(35),撸串圣地(15),不用排队(9),到店自提(14),朋友聚餐(12),闺蜜聚会(7),弄堂小店(5),店内消毒(2)",474.0,545.0,60.0,17.0,地址:学士448-450
海底捞火锅(团结桥店),134.0,5.0,9.2,9.2,9.3,4505.0,"回头客(545),菜品健康(254),不用排队(77),停车方便(43),有表演(8),到店自提(111),朋友聚餐(69),店内消毒(39),24小时营业(21),下午茶(7)",2550.0,4205.0,188.0,111.0,地址:东吴181号双星座商务场A幢
龍爺火锅·和牛工厂(时代广场店),111.0,4.5,8.7,9.0,8.4,1133.0,"菜品健康(147),不用排队(22),回头客(22),发发呆(10),有表演(8),停车方便(6),朋友聚餐(27),到店自提(7),店内消毒(2)",747.0,935.0,124.0,74.0,地址:华池街圆融时代广天幕街13幢            (地铁线时代场5出口步行100米)
老天桥蛙炉火锅(姑苏总店),115.0,4.5,9.0,8.2,8.4,4639.0,"回头客(204),不用排队(169),上菜快(74),到店自提(69),深夜食堂(69),朋友聚餐(69),闺蜜聚会(45),24小时营业(37),店内消毒(10),下午茶(8)",3495.0,4022.0,405.0,211.0,地址:士街54            (士和交叉口行100米)
小辉哥火锅(苏州中心店),120.0,5.0,9.0,9.1,9.1,1285.0,"菜品健康(241),不用排队(49),回头客(45),上菜快(28),停车方便(4),工作餐(41),朋友聚餐(23),闺蜜聚会(18),到店自提(9),店内消毒(4)",900.0,1150.0,92.0,43.0,地址:星街州中心北区4层33号溜冰附近
小龙坎老火锅(圆融星座店),129.0,5.0,9.0,9.1,9.0,1027.0,"菜品健康(90),不用排队(74),回头客(40),停车方便(4),朋友聚餐(26),公司聚餐(12),到店自提(8),闺蜜聚会(7),店内消毒(2)",705.0,901.0,87.0,39.0,地址:旺墩269号圆融购物心4
原始煮意·地锅鸡(相城欧风商业街直营店),71.0,5.0,9.1,8.7,9.1,814.0,"上菜快(19),回头客(18),冬天吃过瘾(5),不用排队(4),到店自提(76),朋友聚餐(21),现做现卖(10),家庭聚餐(7),公司聚餐(3),请客(3)",427.0,742.0,45.0,27.0,地址:安元路欧风商万客商3幢121号
电台巷火锅(观前街旗舰店),110.0,4.5,8.8,9.1,9.0,5157.0,"菜品健康(476),不用排队(369),上菜快(171),回头客(137),朋友聚餐(147),闺蜜聚会(59),到店自提(50),店内消毒(20),下午茶(5),有宝宝椅(4)",4215.0,4535.0,498.0,124.0,地址:仁巷68号
秦记水佬坊香港火锅(龙湖天街店),127.0,5.0,9.1,9.1,9.1,1491.0,"菜品健康(176),回头客(75),不用排队(38),朋友聚餐(24),到店自提(21),闺蜜聚会(10),请客(9),家庭聚餐(7),店内消毒(3)",1109.0,1352.0,111.0,28.0,地址:塔路湖街6楼
清真·北京德胜门铜锅涮肉,102.0,4.5,8.7,8.9,9.0,3634.0,"上菜快(195),回头客(77),不用排队(54),发发呆(27),朋友聚餐(129),到店自提(67),闺蜜聚会(24),家庭聚餐(20),下午茶(3),店内消毒(1)",3261.0,3265.0,271.0,98.0,地址:干将888-2
杨平醒酒汤(最正宗韩式料理),68.0,4.5,8.9,8.3,8.8,987.0,"上菜快(31),回头客(23),停车方便(11),不用排队(10),冬天吃过瘾(6),到店自提(28),工作餐(13),朋友聚餐(12),闺蜜聚会(11),深夜食堂(4)",682.0,855.0,101.0,31.0,地址:瑞巷8号F1            (星和现代交叉口)
和福顺膳食焖锅(悠方店),75.0,5.0,9.1,9.1,9.1,757.0,"菜品健康(108),回头客(10),不用排队(9),停车方便(4),到店自提(16),朋友聚餐(15),闺蜜聚会(12),店内消毒(10),现做现卖(6)",511.0,680.0,61.0,15.0,地址:枫路悠方购物中5
要德鲜派老火锅·鲜虾虾滑(金银店),102.0,4.0,7.7,7.7,7.7,71.0,"服务热情(23),味道赞(16),环境很好(11),菜品健康(10),性价比高(7),牛肉赞(6),分量足(4),海鲜棒(3),店内消毒(2),空间大(8)",33.0,62.0,5.0,4.0,地址:盛泽方中路银广场184
大签门香串串(绿宝店),74.0,4.5,8.9,9.1,9.1,486.0,"菜品健康(57),不用排队(15),停车方便(7),回头客(6),撸串圣地(5),朋友聚餐(11),闺蜜聚会(5),到店自提(3),店内消毒(1)",376.0,426.0,37.0,23.0,地址:江路436绿宝休闲购物广2期3            (汤姆熊欢世界对面)
重庆高老九火锅(吴江万象汇店),123.0,4.5,8.8,8.8,8.8,759.0,"菜品健康(71),回头客(30),上菜快(26),不用排队(11),发发呆(4),到店自提(9),店内消毒(12),朋友聚餐(12),闺蜜聚会(9),请客(3)",419.0,671.0,58.0,30.0,地址:路2299号万象汇商业场3
有骨气•筒骨砂锅火锅(吉庆店),79.0,5.0,9.1,9.1,9.0,787.0,"菜品健康(89),回头客(25),上菜快(11),不用排队(3),朋友聚餐(10),闺蜜聚会(9),到店自提(7),请客(7),有包厢(5),店内消毒(3)",533.0,709.0,55.0,23.0,地址:吉街208
阿婆·翘脚牛肉(龙西路店),77.0,4.5,8.8,8.7,8.7,358.0,"菜品精致(19),牛肉赞(16),回头客(12),高大上(8),上菜快(6),海鲜棒(6),到店自提(10),现做现卖(6),朋友聚餐(4),工作餐(4)",226.0,285.0,59.0,14.0,地址:路318号
钢管厂五区小郡肝串串香(石路旗舰店),93.0,4.5,8.7,8.7,8.9,1698.0,"菜品健康(153),回头客(43),不用排队(24),撸串圣地(17),上菜快(16),朋友聚餐(41),闺蜜聚会(13),深夜食堂(11),到店自提(6),店内消毒(2)",1160.0,1460.0,172.0,66.0,地址:阊胥282-300
古乐牛香牛肉牛杂火锅(园区翰林店),60.0,5.0,9.1,9.0,9.0,1279.0,"回头客(57),上菜快(41),不用排队(20),停车方便(8),发发呆(6),到店自提(34),朋友聚餐(28),工作餐(7),闺蜜聚会(5),公司聚餐(5)",825.0,1185.0,65.0,28.0,地址:泉598号翰邻里心翰厦期2里面
春熙弄成都老火锅(苏州旗舰店),98.0,4.5,8.7,8.8,8.8,609.0,"菜品健康(68),停车方便(29),上菜快(20),回头客(13),不用排队(11),到店自提(31),朋友聚餐(11),家庭聚餐(4),现做现卖(4),闺蜜聚会(3)",498.0,505.0,91.0,12.0,地址:华元路方圆里商街880            (宝燕商旁边)
龙鲜会·澳门生鲜火锅(万达广场店),134.0,5.0,9.0,9.0,9.0,417.0,"菜品健康(67),上菜快(28),回头客(13),牛肉赞(11),不用排队(9),海鲜棒(5),到店自提(1),店内消毒(1),家庭聚餐(3),闺蜜聚会(3)",192.0,373.0,22.0,23.0,地址:仓海路188万达广三            (都唛KTV入口隔壁)
马路边边资格老成都麻辣烫(马路边边串串香昆山旗舰店),87.0,4.0,8.3,8.4,8.4,242.0,"菜品健康(22),牛肉赞(16),回头客(8),不用排队(3),到店自提(2),复古(34),弄堂小店(3),闺蜜聚会(3)",162.0,200.0,31.0,11.0,地址:玉山紫竹路699保地产楼8-5铺
德天肥牛海鲜火锅(石路店),109.0,5.0,9.1,9.0,8.9,2082.0,"菜品健康(179),回头客(91),停车方便(47),不用排队(11),夜景赞(8),朋友聚餐(18),请客(17),到店自提(10),店内消毒(2)",516.0,1871.0,145.0,66.0,地址:景路523演艺中心二期            (护城岸)
七欣天品蟹轩(苏州园区融安街店),131.0,5.0,9.1,9.0,9.0,1232.0,"回头客(100),停车方便(36),不用排队(5),到店自提(17),深夜食堂(14),朋友聚餐(12),闺蜜聚会(7),请客(5),店内消毒(4)",546.0,1153.0,44.0,35.0,地址:融街合360度活场            (融安街与洲叉口)
蛙来哒碳烧牛蛙(印象城购物中心店),81.0,4.5,8.8,9.0,9.0,2381.0,"回头客(77),不用排队(65),上菜快(62),停车方便(18),有表演(3),到店自提(34),闺蜜聚会(31),朋友聚餐(26),家庭聚餐(6),店内消毒(1)",1431.0,2045.0,210.0,126.0,地址:现代大1699印象购物心4
蛙美哒炭烧牛蛙·美蛙鱼头火锅(新华东路店),79.0,5.0,9.2,9.2,9.2,1852.0,"味道赞(453),菜品不错(250),分量足(242),上菜快(202),回头客(42),肉类好(18),不用排队(5),到店自提(11),深夜食堂(3),家庭聚餐(3)",296.0,1689.0,99.0,64.0,地址:厢镇民府口110室            (火锅旁边)
谭鸭血老火锅(繁花中心店),117.0,4.5,8.7,9.0,8.7,682.0,"菜品健康(70),不用排队(17),回头客(16),上菜快(15),停车免费(4),朋友聚餐(11),闺蜜聚会(6),请客(5),店内消毒(4),到店自提(3)",504.0,568.0,73.0,40.0,地址:善路路4555号繁心3西贝莜面往30米，梅餐厅对面
鼎牛锅物料理(圆融星座店),113.0,4.5,8.9,8.8,8.8,3891.0,"回头客(125),不用排队(23),停车方便(14),夜景赞(3),朋友聚餐(36),到店自提(34),工作餐(14),请客(10),有包厢(6)",1275.0,3549.0,231.0,111.0,地址:钟园与融叉口摩轮对面
客满打边炉(西门店),103.0,5.0,9.1,9.1,9.1,296.0,"味道赞(83),菜品精致(72),分量足(42),海鲜棒(32),上菜快(23),牛肉赞(15),回头客(5),到店自提(13),朋友聚餐(6),弄堂小店(3)",189.0,282.0,10.0,4.0,地址:杨舍西沿马东北大168号            (阿月煲斜对面)
抓鱼吃(莫邪路店),70.0,4.5,9.0,8.7,8.7,2044.0,"回头客(125),不用排队(11),店内消毒(42),到店自提(40),现做现卖(33),朋友聚餐(20),弄堂小店(14),闺蜜聚会(12),深夜食堂(7)",894.0,1816.0,152.0,76.0,地址:葑门莫邪312
味舵主不改良老火锅(邓尉路店),116.0,5.0,9.1,9.1,9.1,906.0,"菜品健康(126),停车方便(36),回头客(31),不用排队(17),上菜快(17),店内消毒(39),现做现卖(32),朋友聚餐(19),到店自提(12),闺蜜聚会(5)",731.0,833.0,57.0,16.0,地址:邓尉何山花25幢104-105室
重庆高老九火锅(木渎影视城店),117.0,4.5,9.0,9.0,9.1,567.0,"菜品健康(64),回头客(17),不用排队(15),上菜快(14),停车方便(11),朋友聚餐(10),到店自提(5),闺蜜聚会(5),家庭聚餐(5),店内消毒(3)",388.0,505.0,40.0,22.0,地址:金288渎国际影视城31
味蜀吾·沸腾三国火锅(相城店),103.0,4.5,8.9,9.0,9.0,1125.0,"菜品健康(172),停车方便(39),上菜快(36),不用排队(23),回头客(18),发发呆(4),朋友聚餐(23),到店自提(15),闺蜜聚会(5),请客(3)",981.0,933.0,164.0,28.0,地址:元美假日场6
鑫龍運·打边炉(西城永捷店),68.0,4.5,8.7,8.9,9.0,597.0,"菜品健康(118),上菜快(23),不用排队(11),停车方便(10),回头客(9),到店自提(12),朋友聚餐(6),闺蜜聚会(4),文艺清新(3),家庭聚餐(3)",503.0,528.0,58.0,11.0,地址:干将668城捷4
青一色火锅(新区永旺店),122.0,5.0,9.0,9.0,9.0,2570.0,"菜品健康(244),回头客(118),上菜快(45),不用排队(31),停车方便(13),朋友聚餐(38),闺蜜聚会(20),到店自提(18),店内消毒(7),下午茶(3)",1225.0,2306.0,169.0,95.0,地址:旺梦乐2295号
釜乐轩,89.0,4.5,8.9,9.1,9.1,2229.0,"菜品健康(145),回头客(97),不用排队(14),停车方便(10),朋友聚餐(32),工作餐(21),现做现卖(20),闺蜜聚会(14),到店自提(3),店内消毒(2)",933.0,1987.0,167.0,75.0,地址:天幕西圆融时代15栋201室            (诚品书店对面原锄锅)
味舵主不改良老火锅(相城店),118.0,5.0,9.1,9.2,9.1,692.0,"菜品健康(94),上菜快(25),回头客(25),不用排队(9),店内消毒(38),现做现卖(28),朋友聚餐(12),请客(11),到店自提(10),闺蜜聚会(6)",523.0,648.0,23.0,21.0,地址:阳澄路188
七欣天品蟹轩(苏州盛博广场店),131.0,5.0,9.1,9.1,9.0,667.0,"回头客(58),停车方便(17),不用排队(5),到店自提(15),店内消毒(15),朋友聚餐(9),现做现卖(6),请客(6),深夜食堂(5)",409.0,607.0,39.0,21.0,地址:人民3199号盛博2            (万达广场对面)
老天桥蛙炉火锅(圆融店),123.0,4.5,8.8,8.9,8.5,832.0,"不用排队(65),回头客(51),停车方便(25),上菜快(14),有萌宠(3),朋友聚餐(18),到店自提(12),闺蜜聚会(10),深夜食堂(5),店内消毒(1)",718.0,716.0,82.0,34.0,地址:旺墩269圆融星座负一麦当劳旁
锅圈食汇(衡山路店),62.0,5.0,9.2,9.2,9.2,261.0,"性价比高(134),价格实惠(97),服务热情(49),菜品健康(31),味道赞(31),分量足(14),海鲜棒(7),回头客(4),到店自提(4)",172.0,252.0,9.0,0.0,地址:路130-1
陈记顺和鲜牛肉火锅(盛泽凤凰荟店),106.0,5.0,9.2,9.2,9.2,340.0,"停车方便(123),味道赞(93),牛肉赞(91),菜品健康(89),上菜快(52),分量足(35),店内消毒(1),现做现卖(31),朋友聚餐(28),家庭聚餐(4)",317.0,324.0,7.0,9.0,地址:武威路588凤荟购物
七欣天品蟹轩(相城天虹广场店),131.0,4.5,9.0,9.0,9.0,1364.0,"回头客(71),停车方便(25),不用排队(15),到店自提(33),朋友聚餐(29),深夜食堂(11),闺蜜聚会(9),下午茶(4),店内消毒(3)",1032.0,1219.0,97.0,48.0,地址:相1168天虹商场4层
重庆德庄火锅(星湖店),113.0,5.0,9.1,9.1,9.2,982.0,"菜品健康(79),回头客(63),上菜快(20),不用排队(13),停车方便(9),公司聚餐(26),朋友聚餐(18),请客(11),店内消毒(3),到店自提(2)",486.0,904.0,44.0,34.0,地址:创苑达街叉口星湖地3楼            (地铁2线月亮7出口旁)
重庆金科土火锅(高铁店),129.0,5.0,9.1,9.1,9.0,348.0,"菜品健康(59),回头客(14),停车方便(12),海鲜棒(11),发发呆(4),朋友聚餐(7),请客(4),闺蜜聚会(3),到店自提(1)",239.0,322.0,18.0,8.0,地址:路67号
十四不搭打边炉(李公堤店),105.0,4.5,8.8,8.7,8.8,428.0,"菜品健康(51),回头客(14),停车方便(11),上菜快(6),不用排队(4),朋友聚餐(11),公司聚餐(8),深夜食堂(6),到店自提(3),店内消毒(1)",298.0,374.0,32.0,22.0,地址:水路36号星尚邻里殿娱会所旁
七欣天品蟹轩(苏州相城VIP总店),131.0,4.5,9.1,9.1,9.1,2234.0,"回头客(182),停车方便(16),不用排队(5),朋友聚餐(15),请客(15),到店自提(12),深夜食堂(10),年会(8),店内消毒(7)",546.0,2031.0,131.0,71.0,地址:元和相城6-10栋302、303A室
大渝火锅(西城永捷店),115.0,4.5,8.9,8.8,8.7,1715.0,"菜品健康(140),回头客(80),上菜快(48),不用排队(44),停车方便(15),朋友聚餐(41),闺蜜聚会(14),请客(14),到店自提(7),店内消毒(4)",1060.0,1466.0,151.0,98.0,地址:广济路永捷4楼
龙继斑鱼府(龙湖天街店),100.0,4.5,8.7,8.9,8.7,2500.0,"菜品健康(241),回头客(75),不用排队(63),停车方便(16),店内消毒(44),朋友聚餐(38),到店自提(22),有宝宝椅(4),下午茶(3)",1989.0,2172.0,236.0,92.0,地址:狮路湖狮5楼39
谭鸭血老火锅(盛泽凤凰荟店),120.0,4.0,8.0,8.0,8.0,223.0,"味道赞(29),服务热情(29),牛肉赞(22),菜品健康(15),上菜快(5),回头客(5),到店自提(3),店内消毒(4)",108.0,179.0,29.0,15.0,地址:盛泽镇路588凤荟购物16幢4-008、4-009-1商铺
有家酸菜鱼(苏州桐泾店),78.0,5.0,9.1,8.8,8.9,3756.0,"回头客(242),不用排队(27),到店自提(64),现做现卖(30),朋友聚餐(23),深夜食堂(14),家庭聚餐(10),请客(7),店内消毒(3)",502.0,3339.0,293.0,124.0,地址:桐泾南191号            (桐泾公对面)
福运•港庐漫谈花胶鸡火锅,83.0,5.0,9.2,9.2,9.2,452.0,"海鲜棒(25),停车方便(17),上菜快(13),回头客(13),不用排队(4),发发呆(4),到店自提(10),文艺清新(4),朋友聚餐(4),家庭聚餐(3)",368.0,418.0,27.0,7.0,地址:渎江路样商场1幢电梯
青一色火锅(狮山龙湖天街店),119.0,5.0,9.1,9.2,9.1,1549.0,"菜品健康(201),回头客(72),上菜快(44),不用排队(34),朋友聚餐(31),闺蜜聚会(25),请客(16),到店自提(12),店内消毒(5),可带宠物(3)",1102.0,1413.0,105.0,31.0,地址:州高塔路181狮山天生活广场四期SZSSTJ-A-5F-42
沪小二炭火蛙锅(苏州中心店),101.0,4.5,8.8,9.0,9.0,1259.0,"不用排队(40),上菜快(37),回头客(16),停车方便(4),朋友聚餐(26),到店自提(23),闺蜜聚会(17),请客(8),年会(8),店内消毒(2)",947.0,1105.0,113.0,41.0,地址:星街苏中星悦汇4F-401            (印良品楼)
七欣天品蟹轩(苏州塔园路店),131.0,4.5,9.0,8.5,8.6,3190.0,"回头客(239),不用排队(6),朋友聚餐(33),到店自提(23),深夜食堂(22),请客(19),现做现卖(13),闺蜜聚会(10),店内消毒(4)",682.0,2774.0,270.0,126.0,地址:塔路326            (塔与华叉口，佳林花苑隔壁)
捞王锅物料理(昆山店),137.0,5.0,9.1,9.1,9.1,1934.0,"菜品健康(181),回头客(155),停车方便(30),不用排队(16),上菜快(11),到店自提(19),店内消毒(1),朋友聚餐(20),家庭聚餐(16),请客(8)",1070.0,1826.0,63.0,45.0,地址:江路288號            (王品牛排隔壁)
原始煮意•地锅鸡(相城圆融直营店),68.0,5.0,9.1,9.0,9.0,275.0,"菜品精致(98),肉类好(32),上菜快(13),停车方便(6),回头客(6),不用排队(3),到店自提(39),朋友聚餐(9),家庭聚餐(6),店内消毒(2)",244.0,254.0,17.0,4.0,地址:南天路111号圆融购物4楼4070号
七欣天品蟹轩(苏州东大街店),131.0,5.0,9.1,9.0,8.9,1732.0,"回头客(140),停车方便(23),不用排队(8),朋友聚餐(14),到店自提(13),深夜食堂(10),年会(7),请客(5),店内消毒(3)",373.0,1514.0,131.0,66.0,地址:大23与新市路叉口            (盘景区旁)
良弥一味独食火锅,58.0,4.5,8.8,8.9,8.9,114.0,"服务热情(40),味道赞(33),菜品健康(19),点心好(6),上菜快(4),交通便利(4),牛肉赞(3),朋友聚餐(6),到店自提(1)",88.0,99.0,14.0,1.0,地址:悠方购物4F
摆摊头火锅,105.0,4.5,8.3,8.5,8.4,105.0,"味道赞(14),性价比高(14),菜品健康(13),海鲜棒(6),上菜快(3),到店自提(1),复古(33),现做现卖(3)",83.0,82.0,17.0,6.0,地址:286108
要德鲜派老火锅·鲜虾虾滑(园区双湖广场店),107.0,5.0,9.1,9.1,9.2,621.0,"菜品健康(105),回头客(26),上菜快(14),停车方便(13),不用排队(7),朋友聚餐(14),到店自提(6),请客(5),店内消毒(4),家庭聚餐(4)",396.0,578.0,28.0,15.0,地址:企鸿18            (双湖2楼南侧手扶电梯旁)
小龙坎老火锅(杨舍老街店),108.0,5.0,9.1,9.1,9.1,682.0,"菜品健康(122),回头客(26),不用排队(5),停车方便(5),有表演(3),到店自提(1),店内消毒(2),朋友聚餐(25),闺蜜聚会(7)",411.0,587.0,46.0,49.0,地址:杨舍镇林杨舍老街1棟1F1235610112F1
古乐牛香牛杂火锅(新区狮山店),67.0,4.5,8.8,8.7,8.8,278.0,"菜品精致(57),分量足(33),牛肉赞(25),回头客(20),交通便利(9),不用排队(6),上菜快(4),朋友聚餐(8),到店自提(5),店内消毒(5)",190.0,228.0,39.0,11.0,地址:狮路215号            (狮天街对面)
南门人家羊蝎子,109.0,5.0,9.1,8.7,9.0,1530.0,"回头客(96),停车方便(46),不用排队(10),撸串圣地(6),朋友聚餐(31),深夜食堂(23),到店自提(16),请客(9),闺蜜聚会(7)",650.0,1437.0,54.0,38.0,地址:莫邪路784
大渝火锅(久光店),122.0,4.5,8.7,8.8,8.4,3943.0,"菜品健康(272),回头客(146),不用排队(51),停车方便(14),朋友聚餐(40),闺蜜聚会(23),到店自提(11),下午茶(6),店内消毒(4)",1755.0,3344.0,345.0,254.0,地址:旺墩268久百货4F            (近姜虎东白丁烤肉、海、小国)
里巷打边炉·龙虾(昆山二店),109.0,5.0,9.0,9.0,9.0,171.0,"菜品健康(38),停车方便(17),海鲜棒(11),回头客(7),上菜快(4),店内消毒(3),朋友聚餐(6),请客(5),闺蜜聚会(4),家庭聚餐(3)",120.0,150.0,14.0,7.0,地址:虹桥29
重庆德庄火锅(盛博广场店),116.0,5.0,9.1,9.1,9.0,4069.0,"回头客(275),上菜快(50),不用排队(49),停车方便(37),朋友聚餐(35),深夜食堂(19),到店自提(10),家庭聚餐(10),24小时营业(3),店内消毒(2)",716.0,3691.0,238.0,140.0,地址:民3199号盛广场4楼            (万达广场对面)
辣三多炭火蛙锅(观前街店),85.0,4.5,8.6,8.4,8.5,1906.0,"回头客(59),不用排队(27),发发呆(7),朋友聚餐(48),到店自提(27),闺蜜聚会(22),弄堂小店(13),请客(7),店内消毒(5)",1322.0,1570.0,209.0,127.0,地址:观前碧坊21号（蜜雪冰上）
大龙燚火锅(凤凰街店),100.0,4.5,8.6,8.8,8.6,2138.0,"菜品健康(165),回头客(53),上菜快(51),不用排队(46),朋友聚餐(44),闺蜜聚会(15),请客(13),到店自提(10),深夜食堂(10),店内消毒(2)",1407.0,1817.0,207.0,114.0,地址:凤街268号            (凰街与慧寺巷交叉口南角)
古乐牛香牛肉牛杂火锅(木渎店),59.0,4.5,8.9,8.7,8.6,605.0,"菜品精致(181),牛肉赞(58),回头客(29),上菜快(22),不用排队(11),到店自提(27),朋友聚餐(9),闺蜜聚会(5),文艺清新(3),店内消毒(2)",488.0,512.0,82.0,11.0,地址:山70、72号            (木渎虹对面)
辣些鱼蛙的故事·炭烧牛蛙餐厅(石路天虹店),56.0,4.5,8.7,8.9,8.9,1054.0,"不用排队(27),回头客(24),发发呆(11),撸串圣地(9),停车方便(5),到店自提(14),闺蜜聚会(14),朋友聚餐(14),店内消毒(10)",878.0,886.0,138.0,29.0,地址:南路219            (天虹商业广6)
谭鸭血老火锅(购物公园店),116.0,4.5,8.8,8.8,8.8,404.0,"味道赞(95),菜品健康(71),牛肉赞(29),分量足(23),回头客(22),海鲜棒(4),不用排队(3),到店自提(3),请客(5)",214.0,348.0,28.0,28.0,地址:购物公克拉水岸
陈记顺和鲜牛肉火锅(木渎悠方店),110.0,4.5,9.1,9.1,9.0,402.0,"牛肉赞(101),菜品健康(46),回头客(18),上菜快(11),不用排队(6),停车方便(4),发发呆(3),朋友聚餐(12),到店自提(4),店内消毒(4)",315.0,357.0,31.0,14.0,地址:木渎金枫南路264号悠方购物5
寻蛙记炭烧牛蛙主题餐厅(相城天虹店),77.0,4.5,8.6,8.9,8.5,1371.0,"回头客(51),不用排队(15),停车方便(9),朋友聚餐(26),到店自提(19),请客(6),闺蜜聚会(5),下午茶(4),店内消毒(2)",947.0,1152.0,142.0,76.0,地址:元和相城大1168号相城天虹购物心五层F506铺
镶黄八爷锅-双层炭火蛙锅,82.0,5.0,9.0,8.9,9.0,907.0,"味道赞(199),菜品精致(158),分量足(88),回头客(39),海鲜棒(7),到店自提(5),店内消毒(1),朋友聚餐(12),现做现卖(4)",338.0,780.0,80.0,46.0,地址:东99-2            (小灶旁)
鲜货俚鲜火锅,112.0,4.5,8.9,8.9,8.8,1533.0,"菜品健康(354),上菜快(75),回头客(54),不用排队(18),到店自提(14),店内消毒(1),朋友聚餐(14),闺蜜聚会(9),开放厨房(7),文艺清新(7)",731.0,1359.0,107.0,67.0,地址:虞里颜客隆场2楼
有骨气•筒骨砂锅火锅(东吴店),98.0,4.5,9.0,8.9,8.9,133.0,"味道赞(41),菜品精致(13),海鲜棒(9),停车方便(7),交通便利(4),回头客(3),饮品赞(3),朋友聚餐(3),到店自提(1)",94.0,118.0,14.0,1.0,地址:吴路237号
